Date,Clicks,Impressions,CTR,Position
2025-12-28,0,0,,
2025-12-29,0,7,0%,8.6
2025-12-30,0,4,0%,25.5
2025-12-31,0,8,0%,11
2026-01-01,0,10,0%,7
2026-01-02,0,7,0%,4
2026-01-03,0,4,0%,7
2026-01-04,0,8,0%,5.4
2026-01-05,0,9,0%,12.6
2026-01-06,1,50,2%,7.3
2026-01-07,3,287,1.05%,8
2026-01-08,9,518,1.74%,7.9
